DATE,VALUE
1929-01-01,2.98948
1930-01-01,3.60087
1931-01-01,4.62145
1932-01-01,7.83025
1933-01-01,8.03846
1934-01-01,9.79192
1935-01-01,8.62988
1936-01-01,9.69140
1937-01-01,8.15054
1938-01-01,7.82609
1939-01-01,9.77647
1940-01-01,9.20117
1941-01-01,10.55100
1942-01-01,21.16687
1943-01-01,38.67799
1944-01-01,40.65183
1945-01-01,40.62752
1946-01-01,24.24583
1947-01-01,13.80392
1948-01-01,10.83115
1949-01-01,14.23570
1950-01-01,14.17788
1951-01-01,13.10510
1952-01-01,18.40794
1953-01-01,19.52810
1954-01-01,18.11685
1955-01-01,16.05913
1956-01-01,15.69429
1957-01-01,16.12508
1958-01-01,17.09647
1959-01-01,17.62641
1960-01-01,16.96871
1961-01-01,17.34830
1962-01-01,17.65345
1963-01-01,17.43126
1964-01-01,17.28317
1965-01-01,15.89727
1966-01-01,16.50699
1967-01-01,18.27365
1968-01-01,18.90016
1969-01-01,18.00569
1970-01-01,18.18468
1971-01-01,17.99726
1972-01-01,17.98823
1973-01-01,17.20035
1974-01-01,17.39146
1975-01-01,19.67742
1976-01-01,19.80145
1977-01-01,19.61735
1978-01-01,19.46643
1979-01-01,19.14927
1980-01-01,20.64423
1981-01-01,21.12242
1982-01-01,22.29426
1983-01-01,22.21940
1984-01-01,21.08063
1985-01-01,21.77155
1986-01-01,21.57601
1987-01-01,20.61552
1988-01-01,20.26455
1989-01-01,20.21569
1990-01-01,20.95446
1991-01-01,21.44843
1992-01-01,21.12656
1993-01-01,20.48913
1994-01-01,19.99989
1995-01-01,19.77717
1996-01-01,19.26476
1997-01-01,18.59924
1998-01-01,18.18046
1999-01-01,17.61632
2000-01-01,17.39412
2001-01-01,17.53795
2002-01-01,18.31832
2003-01-01,18.76427
2004-01-01,18.67910
2005-01-01,18.87898
2006-01-01,19.16187
2007-01-01,18.84764
2008-01-01,20.26378
2009-01-01,24.39663
2010-01-01,23.10202
2011-01-01,23.21871
2012-01-01,21.89344
2013-01-01,20.69704
2014-01-01,20.15807
2015-01-01,20.44893
2016-01-01,20.75936
