"Year","United.States","World"
1960,3.07807e+12,1.11987e+13
1961,3.14887e+12,1.16818e+13
1962,3.34095e+12,1.23307e+13
1963,3.48795e+12,1.29723e+13
1964,3.69025e+12,1.38356e+13
1965,3.92643e+12,1.46062e+13
1966,4.18164e+12,1.54512e+13
1967,4.28619e+12,1.61322e+13
1968,4.49192e+12,1.7129e+13
1969,4.63117e+12,1.81767e+13
1970,4.77968e+12,1.89694e+13
1971,4.9372e+12,1.9777e+13
1972,5.19706e+12,2.09019e+13
1973,5.49033e+12,2.22537e+13
1974,5.46194e+12,2.26934e+13
1975,5.45114e+12,2.29002e+13
1976,5.74474e+12,2.41063e+13
1977,6.0095e+12,2.50708e+13
1978,6.34373e+12,2.60964e+13
1979,6.54518e+12,2.71705e+13
1980,6.52917e+12,2.7709e+13
1981,6.69857e+12,2.82505e+13
1982,6.57057e+12,2.84e+13
1983,6.87495e+12,2.91103e+13
1984,7.37401e+12,3.04378e+13
1985,7.68657e+12,3.16285e+13
1986,7.95649e+12,3.26551e+13
1987,8.23193e+12,3.38337e+13
1988,8.578e+12,3.53966e+13
1989,8.89371e+12,3.67277e+13
1990,9.06441e+12,3.78093e+13
1991,9.0577e+12,3.83242e+13
1992,9.37974e+12,3.90053e+13
1993,9.63729e+12,3.96462e+13
1994,1.00264e+13,4.08423e+13
1995,1.0299e+13,4.20881e+13
1996,1.069e+13,4.35142e+13
1997,1.11696e+13,4.51149e+13
1998,1.16667e+13,4.62504e+13
1999,1.22133e+13,4.77715e+13
2000,1.27131e+13,4.98685e+13
2001,1.28371e+13,5.0849e+13
2002,1.30664e+13,5.19488e+13
2003,1.34332e+13,5.34456e+13
2004,1.39417e+13,5.58235e+13
2005,1.44081e+13,5.79714e+13
2006,1.47923e+13,6.0486e+13
2007,1.50554e+13,6.30624e+13
2008,1.50115e+13,6.42156e+13
2009,1.45948e+13,6.31216e+13
2010,1.49644e+13,6.5853e+13
2011,1.5204e+13,6.79059e+13
2012,1.55422e+13,6.95447e+13
2013,1.58029e+13,7.13075e+13
2014,1.61775e+13,7.32517e+13
2015,1.65974e+13,7.52417e+13
