"Year","Gross Federal Debt","Government Accounts","Total Public","Federal Reserve System","Other","Gross Federal Debt %GDP","Government Accounts %GDP","Total Public %GDP","Federal Reserve System %GDP","Other %GDP"
1940,50696,7924,42772,2458,40314,51.6,8.1,43.6,2.5,41.1
1941,57531,9308,48223,2180,46043,49.5,8,41.5,1.9,39.6
1942,79200,11447,67753,2640,65113,53.6,7.8,45.9,1.8,44.1
1943,142648,14882,127766,7149,120617,77.3,8.1,69.2,3.9,65.3
1944,204079,19283,184796,14899,169897,95.5,9,86.4,7,79.5
1945,260123,24941,235182,21792,213390,114.9,11,103.9,9.6,94.3
1946,270991,29130,241861,23783,218078,118.9,12.8,106.1,10.4,95.6
1947,257149,32810,224339,21872,202467,107.6,13.7,93.9,9.2,84.7
1948,252031,35761,216270,21366,194904,96,13.6,82.4,8.1,74.3
1949,252610,38288,214322,19343,194979,91.3,13.8,77.4,7,70.4
1950,256853,37830,219023,18331,200692,92.1,13.6,78.5,6.6,71.9
1951,255288,40962,214326,22982,191344,78,12.5,65.5,7,58.4
1952,259097,44339,214758,22906,191852,72.5,12.4,60.1,6.4,53.7
1953,265963,47580,218383,24746,193637,69.5,12.4,57.1,6.5,50.6
1954,270812,46313,224499,25037,199462,69.9,11.9,57.9,6.5,51.4
1955,274366,47751,226616,23607,203009,67.4,11.7,55.7,5.8,49.9
1956,272693,50537,222156,23758,198398,62.1,11.5,50.6,5.4,45.2
1957,272252,52931,219320,23035,196285,58.6,11.4,47.2,5,42.3
1958,279666,53329,226336,25438,200898,59,11.2,47.7,5.4,42.4
1959,287465,52764,234701,26044,208657,56.9,10.4,46.4,5.2,41.3
1960,290525,53686,236840,26523,210317,54.3,10,44.3,5,39.3
1961,292648,54291,238357,27253,211104,53.4,9.9,43.5,5,38.6
1962,302928,54918,248010,29663,218347,51.6,9.4,42.3,5.1,37.2
1963,310324,56345,253978,32027,221951,50.1,9.1,41,5.2,35.8
1964,316059,59210,256849,34794,222055,47.7,8.9,38.7,5.2,33.5
1965,322318,61540,260778,39100,221678,45.4,8.7,36.7,5.5,31.2
1966,328498,64784,263714,42169,221545,42,8.3,33.7,5.4,28.3
1967,340445,73819,266626,46719,219907,40.6,8.8,31.8,5.6,26.2
1968,368685,79140,289545,52230,237315,41,8.8,32.2,5.8,26.4
1969,365769,87661,278108,54095,224013,37.2,8.9,28.3,5.5,22.8
1970,380921,97723,283198,57714,225484,36.3,9.3,27,5.5,21.5
1971,408176,105140,303037,65518,237519,36.5,9.4,27.1,5.9,21.2
1972,435936,113559,322377,71426,250951,35.7,9.3,26.4,5.9,20.6
1973,466291,125381,340910,75181,265729,34.4,9.2,25.1,5.5,19.6
1974,483893,140194,343699,80648,263051,32.6,9.4,23.1,5.4,17.7
1975,541925,147225,394700,84993,309707,33.6,9.1,24.5,5.3,19.2
1976,628970,151566,477404,94714,382690,35.1,8.5,26.7,5.3,21.4
1977,706398,157294,549104,105004,444100,34.8,7.8,27.1,5.2,21.9
1978,776602,169476,607126,115480,491646,34.1,7.4,26.6,5.1,21.6
1979,829467,189161,640306,115594,524712,32.3,7.4,24.9,4.5,20.4
1980,909041,197118,711923,120846,591077,32.5,7,25.5,4.3,21.1
1981,994828,205418,789410,124466,664944,31.7,6.5,25.2,4,21.2
1982,1137315,212740,924575,134497,790078,34.3,6.4,27.9,4.1,23.8
1983,1371660,234392,1137268,155527,981741,38.7,6.6,32.1,4.4,27.7
1984,1564586,257611,1306975,155122,1151853,39.6,6.5,33.1,3.9,29.1
1985,1817423,310163,1507260,169806,1337454,42.6,7.3,35.3,4,31.3
1986,2120501,379878,1740623,190855,1549767,46.7,8.4,38.4,4.2,34.2
1987,2345956,456203,1889753,212040,1677713,49.1,9.5,39.5,4.4,35.1
1988,2601104,549487,2051616,229218,1822398,50.5,10.7,39.8,4.4,35.4
1989,2867800,677084,2190716,220088,1970628,51.5,12.2,39.3,4,35.4
1990,3206290,794733,2411558,234410,2177147,54.2,13.4,40.8,4,36.8
1991,3598178,909179,2688999,258591,2430408,58.9,14.9,44,4.2,39.8
1992,4001787,1002050,2999737,296397,2703341,62.2,15.6,46.6,4.6,42
1993,4351044,1102647,3248396,325653,2922744,64,16.2,47.8,4.8,43
1994,4643307,1210242,3433065,355150,3077915,64.5,16.8,47.7,4.9,42.8
1995,4920586,1316208,3604378,374114,3230264,64.9,17.4,47.5,4.9,42.6
1996,5181465,1447392,3734073,390924,3343149,64.9,18.1,46.8,4.9,41.9
1997,5369206,1596862,3772344,424518,3347826,63.3,18.8,44.5,5,39.5
1998,5478189,1757090,3721099,458182,3262917,61.2,19.6,41.6,5.1,36.4
1999,5605523,1973160,3632363,496644,3135719,58.9,20.7,38.2,5.2,33
2000,5628700,2218896,3409804,511413,2898391,55.5,21.9,33.6,5,28.6
2001,5769881,2450266,3319615,534135,2785480,54.6,23.2,31.4,5.1,26.4
2002,6198401,2657974,3540427,604191,2936235,57,24.4,32.5,5.6,27
2003,6760014,2846570,3913443,656116,3257327,59.7,25.1,34.5,5.8,28.7
2004,7354657,3059113,4295544,700341,3595203,60.8,25.3,35.5,5.8,29.7
2005,7905300,3313088,4592212,736360,3855852,61.3,25.7,35.6,5.7,29.9
2006,8451350,3622378,4828972,768924,4060048,61.8,26.5,35.3,5.6,29.7
2007,8950744,3915615,5035129,779632,4255497,62.5,27.3,35.2,5.4,29.7
2008,9986082,4183032,5803050,491127,5311923,67.7,28.4,39.3,3.3,36
2009,11875851,4331144,7544707,769160,6775547,82.4,30,52.3,5.3,47
2010,13528807,4509926,9018882,811669,8207213,91.4,30.5,60.9,5.5,55.5
2011,14764222,4636035,10128187,1664660,8463527,96,30.1,65.9,10.8,55
2012,16050921,4769790,11281131,1645285,9635846,100.1,29.8,70.4,10.3,60.1
2013,16719434,4736721,11982713,2072283,9910430,101.3,28.7,72.6,12.6,60.1
2014,17794483,5014584,12779899,2451743,10328156,103.6,29.2,74.4,14.3,60.1
2015,18120106,5003414,13116692,2461947,10654745,101.8,28.1,73.7,13.8,59.8
